Student_ID,Group,Pre_A,Pre_B,Pre_C,Pre_D,Pre_E,Pre_F,Post_A,Post_B,Post_C,Post_D,Post_E,Post_F,Total_Pre,Total_Post,Diff,Percent_Change
001,Exp,6,9,13,15,6,9,6,11,16,15,9,11,58,68,10,17.24137931034483
002,Exp,5,11,12,12,5,8,7,11,13,15,7,9,53,62,9,16.9811320754717
003,Exp,7,7,12,13,6,9,9,11,15,15,6,13,54,69,15,27.77777777777778
004,Exp,5,9,13,14,6,9,6,11,13,20,9,15,56,74,18,32.142857142857146
005,Exp,5,9,11,12,4,9,7,9,14,15,7,12,50,64,14,28.000000000000004
006,Exp,6,10,11,11,6,7,6,10,10,15,10,10,51,61,10,19.607843137254903
007,Exp,4,9,12,17,6,9,6,11,18,20,9,10,57,74,17,29.82456140350877
008,Exp,5,8,12,11,4,9,6,12,15,14,7,11,49,65,16,32.6530612244898
009,Exp,4,9,13,14,5,7,6,12,16,18,4,10,52,66,14,26.923076923076923
010,Exp,5,7,13,10,7,11,6,11,11,13,9,14,53,64,11,20.754716981132077
011,Exp,6,11,11,17,7,8,7,15,11,20,10,10,60,73,13,21.666666666666668
012,Exp,7,8,14,12,5,9,9,11,14,16,8,13,55,71,16,29.09090909090909
013,Exp,7,10,13,20,7,11,10,14,16,20,8,10,68,78,10,14.705882352941178
014,Exp,6,11,12,10,5,10,6,15,19,14,7,8,54,69,15,27.77777777777778
015,Exp,7,10,10,11,6,8,10,13,17,17,5,9,52,71,19,36.53846153846153
016,Exp,3,7,11,10,8,7,5,10,17,14,7,11,46,64,18,39.130434782608695
017,Exp,6,11,10,16,4,9,8,13,14,19,6,12,56,72,16,28.57142857142857
018,Exp,7,8,11,13,7,9,9,10,17,19,7,13,55,75,20,36.36363636363637
019,Exp,7,9,13,12,6,10,8,15,19,17,5,10,57,74,17,29.82456140350877
020,Exp,8,8,11,13,5,8,7,11,10,19,7,8,53,62,9,16.9811320754717
021,Ctrl,6,11,14,12,6,7,6,11,15,12,7,9,56,60,4,7.142857142857142
022,Ctrl,6,10,13,11,6,9,6,10,14,12,7,10,55,59,4,7.2727272727272725
023,Ctrl,8,8,14,12,8,8,8,8,12,12,8,9,58,57,-1,-1.7241379310344827
024,Ctrl,6,12,14,11,5,10,6,14,16,11,4,11,58,62,4,6.896551724137931
025,Ctrl,6,11,9,11,6,9,6,12,9,11,6,10,52,54,2,3.8461538461538463
026,Ctrl,7,7,9,15,6,8,8,8,11,16,7,10,52,60,8,15.384615384615385
027,Ctrl,6,10,13,15,5,10,7,9,12,14,5,11,59,58,-1,-1.694915254237288
028,Ctrl,8,9,15,9,4,9,8,9,14,10,4,10,54,55,1,1.8518518518518516
029,Ctrl,6,8,11,10,6,10,6,9,11,10,6,10,51,52,1,1.9607843137254901
030,Ctrl,5,7,16,12,5,9,5,7,17,13,5,9,54,56,2,3.7037037037037033
